nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,,2,grupo,estupenda,tot,,10.0,2024-03-17,muy bien
casual vintage valencia,españa,,1,pareja,perfecte,centric. personal molt atent i amable. bona relació qualitat-preu.,,10.0,2023-08-22,muy bien
casual vintage valencia,españa,habitación doble deluxe,1,pareja,excepcional,tot. cuiden molt els detalls. a l habitació hi ha cafetera i també t hi deixen una aigua. els gossos tenien el seu propi llit i unes galetes de regal! el llit era gran i còmode i estas en ple centre de valència.,,10.0,2023-07-11,muy bien
casual vintage valencia,españa,habitación doble con terraza,1,familia,espectacular,el estilo,nada,10.0,2023-05-31,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,habitació sense vistes. hotel ben situat.,neteja.,vista a un pati interior. decoració fluixa.,5.0,2023-05-11,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,agradable,         ,,6.0,2026-03-05,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,muy pequeña la habitación y baño no funcional.,la atención del personal y que me dieron acceso antes de la hr del check in,"demasiado pequeña la habitación, el baño nada cómodo la regadera no cabes y sale toda el agua ducha cara con línea de puntos",6.0,2025-10-26,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,2,grupo,no hi tornaré ni ho recomanaré,net,"erem 2 matrimonis i teníem una habitació triple i l altre individual i ni ens van informar de si era això el que voliem,tampoc van fer res per canviar-nos,molt malament,la tapa del wc es movia i els ascensors molt petits",3.0,2024-06-20,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,correcte per dos dies i res mes. cumpleix la funcio i prou,la situacio,"crec q s ha de renovar, es veu net pero vell",6.0,2023-12-02,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,pareja,molt còmode i ben situat.,l habitació era còmoda i estava neta. el bany era nou i tot funcionava perfectament. el personal va ser atent i agradable. l esmorzar tenia for a varietat i opcions per a tothom. la situació és excepcional.,"la cisterna del lavabo i altres canonades estaven situades directament darrere el cap al del llit, així que cada vegada que algú anava al lavabo se sentia el soroll darrere la paret del llit. a la nit era molest.",10.0,2023-07-13,muy bien
casual vintage valencia,españa,habitación doble deluxe,2,pareja,la ubicació és l única cosa bona de l hotel,la ubicació,l habitació tenia les finestres rompudes i no es podien tancar del tot. entrava molt de soroll i moscards. l assecador de pèl no tenia for a. el bany és antic i sense ventilació. vaig contactar amb l hotel via mail 3 vegades abans d anar per problemes amb la reserva i encara estic esperant la seva resposta. sempre diuen que estan molt ocupats però una vegada allà els veus de xerrameca. no són professionals.,4.0,2026-03-17,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola,decepcionante,de locatie,de kamer en het ontbijt,4.0,2026-02-01,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,2,pareja,decepció,situació,la resta malament,5.0,2024-07-17,muy bien
casual vintage valencia,españa,habitación doble,1,persona que viaja sola,decepcionante,la ubicació,"l hotel, és acceptable, però si penso en la relació qualitat preu  130 euros per una nit entre setmana  crec que es podrien exigir unes instal-lacions més modernes i comodes, o com a mínim que incligui un esmorzar.",4.0,2024-05-09,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,3,persona que viaja sola,agradable,hôtel très bien situé. toutes les visites se font à pied. petit-déjeuner richement varié.,chambre bruillante côté rue. l isolation entre les chambres n est pas parfaite.,6.0,2024-04-09,muy bien
casual vintage valencia,españa,,2,pareja,"zeer eenvoudig, maar ideaal gelegen",locatie was voortrefdelijk,raam gaf alleen uitzicht op een soort luchtkoker,6.0,2024-02-03,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,                   !!!,                     ,"                   !           ,                .                                !                            ,                    .",1.0,2025-09-19,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,grupo,aceptable,die lage super zentral.,,5.0,2024-04-17,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,les fotografies enganyen,,"les fotografies de les habitacions, i de l hotel en general, resulten bastant enganyoses. a les fotos sembla tot nou, i en bon estat de conservació, però la realitat és diferent, l hotel està molt desgastat per l ús intensiu. passadissos i portes estretes, ascensor estret, habitació sense gens de llum natural, soroll de les habitacions veïnes. el lloc és molt cèntric, però d accés difícil en cotxe. el personal amable.",5.0,2024-01-07,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,2,pareja,pésimo,,nos cancelaron la reserva y en recepción no nos dieron ninguna solución y nos va quedamos en la calle. trato pésimo!,1.0,2025-11-12,muy bien
casual vintage valencia,españa,habitación doble,3,persona que viaja sola,muy bien,,,8.0,2026-04-14,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,fantástico,,,9.0,2026-04-06,muy bien
casual vintage valencia,españa,,2,grupo,fantástico,,,9.0,2026-03-26,muy bien
casual vintage valencia,españa,,1,pareja,fantástico,,,9.0,2026-03-21,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,fantástico,,,9.0,2026-03-20,muy bien
casual vintage valencia,españa,,1,grupo,muy bien,,,8.0,2026-03-19,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,muy bien,,,8.0,2026-03-16,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,fantástico,,,9.0,2026-03-01,muy bien
casual vintage valencia,españa,habitación doble deluxe,2,pareja,fantástico,,,9.0,2026-02-23,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,pareja,muy bien,,,8.0,2026-02-09,muy bien
casual vintage valencia,españa,habitación doble deluxe,1,pareja,muy bien,,,8.0,2026-02-01,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,persona que viaja sola,muy bien,,,8.0,2026-01-21,muy bien
casual vintage valencia,españa,,2,pareja,fantástico,,,9.0,2026-01-19,muy bien
casual vintage valencia,españa,,1,familia,muy bien,,,8.0,2026-01-08,muy bien
casual vintage valencia,españa,,1,pareja,muy bien,,,8.0,2026-01-04,muy bien
casual vintage valencia,españa,,1,pareja,bien,,,7.0,2026-01-01,muy bien
casual vintage valencia,españa,,1,pareja,fantástico,,,9.0,2025-12-28,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,2,grupo,fantástico,,,9.0,2025-12-08,muy bien
casual vintage valencia,españa,habitación triple,1,grupo,fantástico,,,9.0,2025-12-07,muy bien
casual vintage valencia,españa,habitación doble con terraza,1,persona que viaja sola,muy bien,,,8.0,2025-12-07,muy bien
casual vintage valencia,españa,habitación triple,3,grupo,muy bien,,,8.0,2025-11-28,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,fantástico,,,9.0,2025-11-13,muy bien
casual vintage valencia,españa,habitación triple,2,grupo,perfecto,,,9.0,2025-10-13,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola,muy bien,,,8.0,2025-10-02,muy bien
casual vintage valencia,españa,,3,pareja,fantástico,,,9.0,2025-09-04,muy bien
casual vintage valencia,españa,habitación doble con terraza,3,pareja,muy bien,,,8.0,2025-08-20,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,bien,,,7.0,2025-07-31,muy bien
casual vintage valencia,españa,,1,pareja,fantástico,,,9.0,2025-07-16,muy bien
casual vintage valencia,españa,,2,grupo,muy bien,,,8.0,2025-06-16,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,muy bien,,,8.0,2025-05-25,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,fantástico,,,9.0,2025-05-18,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,fantástico,,,9.0,2025-05-08,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,3,pareja,fantástico,,,9.0,2025-04-18,muy bien
casual vintage valencia,españa,habitación doble deluxe,1,pareja,muy bien,,,8.0,2025-03-26,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,muy bien,,,8.0,2025-03-23,muy bien
casual vintage valencia,españa,,1,pareja,fantástico,,,9.0,2025-03-21,muy bien
casual vintage valencia,españa,habitación doble deluxe,1,familia,muy bien,,,8.0,2025-03-11,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,fantástico,,,9.0,2025-03-01,muy bien
casual vintage valencia,españa,,1,persona que viaja sola,bien,,,7.0,2025-03-01,muy bien
casual vintage valencia,españa,habitación triple,4,familia,fantástico,,,9.0,2025-02-25,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,2,persona que viaja sola,fantástico,,,9.0,2025-02-09,muy bien
casual vintage valencia,españa,habitación doble,2,pareja,muy bien,,,8.0,2025-01-23,muy bien
casual vintage valencia,españa,habitación triple,2,familia,muy bien,,,8.0,2025-01-17,muy bien
casual vintage valencia,españa,,1,familia,muy bien,,,8.0,2025-01-07,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,2,familia,bien,,,7.0,2025-01-02,muy bien
casual vintage valencia,españa,habitación doble con terraza,1,pareja,fantástico,,,9.0,2024-12-25,muy bien
casual vintage valencia,españa,habitación doble,1,pareja,fantástico,,,9.0,2024-12-23,muy bien
casual vintage valencia,españa,,1,pareja,fantástico,,,9.0,2024-12-21,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,pareja,fantástico,,,9.0,2024-12-17,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,4,pareja,fantástico,,,9.0,2024-12-10,muy bien
casual vintage valencia,españa,,3,familia,para ser un dos estrellas está genial!!,,,9.0,2024-12-09,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,2,persona que viaja sola,bien,,,7.0,2024-12-09,muy bien
casual vintage valencia,españa,,4,familia,bien,,,7.0,2024-12-08,muy bien
casual vintage valencia,españa,habitación triple,2,familia,fantástico,,,9.0,2024-12-08,muy bien
casual vintage valencia,españa,,2,familia,muy bien,,,8.0,2024-12-03,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,grupo,muy bien,,,8.0,2024-11-25,muy bien
casual vintage valencia,españa,,2,familia,muy bien,,,8.0,2024-11-25,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,2,persona que viaja sola,muy bien,,,8.0,2024-11-10,muy bien
casual vintage valencia,españa,,4,grupo,muy bien,,,8.0,2024-10-16,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,pareja,fantástico,,,9.0,2024-10-15,muy bien
